losses train: anglický,frame acc train: anglický,losses val: anglický,sample acc val: anglický,frame acc val: anglický,losses test: italský,sample acc test: italský,frame acc test: italský
0.9674194874598381,0.6320860851267734,1.135717114191951,0.836864406779661,0.5975665538377093,3.0606277768361374,0.20068027210884354,0.1931360128987677
0.7818220151242548,0.709848989909512,1.1832704880912568,0.8495762711864406,0.6135150794376849,3.673423665970858,0.2108843537414966,0.18357710468732005
0.7268855491837685,0.7343772786933062,1.2158286416314348,0.8516949152542372,0.6122038239868265,3.35020538673452,0.20068027210884354,0.1775993594489506
0.6953026551873296,0.749825517198275,1.2501158789189324,0.8792372881355932,0.6228387155795444,3.834030771424426,0.22789115646258504,0.192313387407249
0.667092112600139,0.7634863920776127,1.321091673960508,0.8559322033898306,0.631842161436892,3.849800668710966,0.21258503401360543,0.19967862764131336
0.6374150009264783,0.7773347708632818,1.2924184624298602,0.8665254237288136,0.6339005275516116,3.653842493966654,0.20578231292517007,0.19116171171912275
0.618500244629818,0.7860519663604103,1.383480184811145,0.875,0.6318802793279054,3.854870357654144,0.2227891156462585,0.19671169170190245
0.5896793260927539,0.797129454085849,1.3450471136217714,0.8792372881355932,0.6334659835940597,3.97142085473033,0.20068027210884354,0.18963711247484136
0.5817007531253818,0.8023153260137365,1.3649089721085423,0.8792372881355932,0.6426828896410819,4.679176606726781,0.20578231292517007,0.1931250445588808
0.5606160935184741,0.8098866643055064,1.3787761013458395,0.875,0.6252706370261946,4.051770824640345,0.19727891156462585,0.18976873255348436
