losses trénovací sada,frame acc trénovací sada,losses validační sada,sample acc validační sada,frame acc validační sada,losses testovací sada,sample acc testovací sada,frame acc testovací sada
0.6657107045113022,0.6883583329274264,0.613380320749457,0.8116760828625236,0.7194556035037565,0.5995990686346143,0.8229755178907722,0.7192314725143744
0.5463145836845117,0.7478531796185158,0.5636430993503578,0.8342749529190208,0.7385799353715459,0.551293365429767,0.832391713747646,0.747262273210573
0.5044119795054676,0.7687048321724396,0.5496227473105312,0.864406779661017,0.7441824229573276,0.5420155594332939,0.864406779661017,0.7489824528135772
0.47665218165138606,0.7825167767742619,0.5397158023367663,0.8587570621468926,0.7530840779606133,0.533121348149692,0.8625235404896422,0.7589107335143811
0.4568585819679785,0.7922388886182843,0.5344136078314877,0.8738229755178908,0.7609153665327579,0.5313751920380113,0.8738229755178908,0.7625204017364333
0.44285583337923967,0.7993495234652659,0.5478357962111067,0.8738229755178908,0.75598355158421,0.5363134319290992,0.8775894538606404,0.7630621905877731
0.4301381716378797,0.8049330937200644,0.5342402432299355,0.8738229755178908,0.7604411535569361,0.5269979721633087,0.8813559322033898,0.765926899139233
0.4202029577240709,0.8095091602512009,0.5455685970538848,0.8757062146892656,0.7594249828944605,0.5321140431679491,0.8775894538606404,0.7679992414956082
0.4126629695721986,0.8136169383679465,0.5597678289195198,0.879472693032015,0.7557261216830496,0.5402178145980706,0.8832391713747646,0.762500084654508
0.40570264519555765,0.8166044133619433,0.5490606135892654,0.871939736346516,0.761396353979663,0.5369152566659218,0.8775894538606404,0.7663196960564544
