losses trénovací sada,frame acc trénovací sada,losses validační sada,sample acc validační sada,frame acc validační sada,losses testovací sada,sample acc testovací sada,frame acc testovací sada
0.7273216843647826,0.6585750188639904,0.6516692700223261,0.7947269303201506,0.6946407159261041,0.6373712999031037,0.7890772128060264,0.6983251952132955
0.6272716233708922,0.7056465499192887,0.6275646987527937,0.7909604519774012,0.7040369073184611,0.6055561359539525,0.800376647834275,0.7210126033631543
0.597101492924831,0.7199874553395561,0.6137837551709105,0.7966101694915254,0.7104116846077243,0.5961181764468991,0.8041431261770244,0.7173081220921177
0.5773715568945663,0.7301282922256432,0.60765694454518,0.807909604519774,0.7151131675394443,0.583126554769839,0.8135593220338984,0.7253672312557988
0.5619757380759391,0.7375696344017658,0.5960538265127742,0.8060263653483992,0.720072080372325,0.5733736852143175,0.8286252354048964,0.7341713000900724
0.550620233170507,0.7432899312009119,0.5926390303800338,0.8097928436911488,0.7201736974385725,0.5689266148212311,0.8210922787193974,0.7389187248999384
0.5420337066295303,0.748150559852472,0.5858312125894944,0.8192090395480226,0.7279101434155528,0.5661163006480948,0.8380414312617702,0.7418985635823079
0.5357073045757388,0.751449942275762,0.5863642453669498,0.815442561205273,0.7266162194386673,0.5602675352822633,0.8342749529190208,0.7465647200644728
0.5310670037427129,0.7537084938802053,0.5846297024622843,0.8173258003766478,0.7273410878445665,0.555665732343284,0.8248587570621468,0.7468288421295011
0.5263752580539328,0.7557952827633119,0.5825382072351396,0.8173258003766478,0.728553718168454,0.5569300273973632,0.832391713747646,0.7462531914749524
