losses train: anglický,frame acc train: anglický,losses val: anglický,sample acc val: anglický,frame acc val: anglický,losses test: italský,sample acc test: italský,frame acc test: italský
0.5833244005214718,0.7303270637028414,0.5909455980538996,0.8792372881355932,0.7277184639532535,1.2920262556966358,0.5697278911564626,0.5355675841682982
0.46891994221669114,0.7872812602321098,0.6013192693555218,0.8771186440677966,0.7375402116648795,1.468338233344586,0.5425170068027211,0.5308786188666414
0.4198516416261215,0.8121077149890771,0.607315600805773,0.902542372881356,0.7379753523862806,1.5056247530084108,0.5357142857142857,0.5048836533346496
0.3897771031453301,0.827309706579907,0.6397699801916823,0.9110169491525424,0.7512238332789407,1.8829780359637929,0.5663265306122449,0.5263377261534581
0.3687588890470607,0.8380567783558288,0.6502082581763989,0.9258474576271186,0.7443936780269477,1.8421043446013086,0.564625850340136,0.4946501922201565
0.35523481162855197,0.8470454431272273,0.6806845676342919,0.8919491525423728,0.7546583368299998,2.1906498526641185,0.5578231292517006,0.5195812287831175
0.341588280963926,0.8544861900084368,0.7493709014700334,0.9004237288135594,0.734331048844546,2.2690175053464627,0.5578231292517006,0.507713485025474
0.3313622997534204,0.8601477408367938,0.7730849622001226,0.8940677966101694,0.755101247921426,2.603871963525861,0.5629251700680272,0.5104610541671465
0.32384355063390724,0.8642683034577384,0.7883875420275502,0.9173728813559322,0.7535083220662968,2.686769973219362,0.5544217687074829,0.5218078017801616
0.31460639420485,0.8683308299854303,0.7663274118213358,0.8792372881355932,0.753213048005346,2.4061589090972983,0.5663265306122449,0.5116291823651031
