losses train: anglický,frame acc train: anglický,losses val: anglický,sample acc val: anglický,frame acc val: anglický,losses test: italský,sample acc test: italský,frame acc test: italský
0.7649734700663324,0.7095746786391384,0.8736466294127938,0.8940677966101694,0.6745799408410331,2.83169461901977,0.25,0.20283750952874527
0.7622552996130562,0.7105104620235144,0.8676575188393558,0.8983050847457628,0.6782316348001097,2.8670648779841894,0.2465986394557823,0.20171325469033635
0.7589457339236848,0.7116146516941325,0.8725483349385897,0.8961864406779662,0.6779038209373952,2.9028200626782588,0.23979591836734693,0.20032027552469797
0.7568638700242216,0.7128013083605909,0.8773080600914751,0.8898305084745762,0.6761580215289849,2.8989752200374532,0.23809523809523808,0.20226715585462562
0.7552327631702,0.7135374348076696,0.8750457231412481,0.8834745762711864,0.6764705882352942,2.803946424514812,0.25510204081632654,0.2062486632335763
0.7532901115043851,0.7140765085383723,0.8645655350447371,0.8940677966101694,0.6755328881163662,2.7963053387040047,0.26700680272108845,0.20804747097503057
0.7520050723364763,0.714701521559477,0.8720148440495344,0.8919491525423728,0.6810294880004879,2.8343301922887685,0.23809523809523808,0.19795111410912403
0.7484992445589376,0.7161642256435898,0.8690154285199738,0.902542372881356,0.6783536120513525,2.889238015628927,0.23809523809523808,0.20369852420986823
0.7465643976473443,0.7173100828489483,0.8826713521045879,0.8877118644067796,0.6720184185649376,2.869917998203375,0.22108843537414966,0.19642651486484264
0.7446197554425336,0.717233692368591,0.8698145732568479,0.8919491525423728,0.6781630225962858,2.892078085043266,0.25,0.20563992036985243
