losses trénovací sada,frame acc trénovací sada,losses validační sada,sample acc validační sada,frame acc validační sada,losses testovací sada,sample acc testovací sada,frame acc testovací sada
1.0299946918853453,0.6049070592677769,0.8790855371304912,0.8587570621468926,0.65784194360663,0.9117263742596957,0.8493408662900188,0.6525228736938985
0.7658590540094058,0.710163173699908,0.8204685884934607,0.9001883239171374,0.68762278978389,0.852875032305971,0.879472693032015,0.6731227329327053
0.6668466608710704,0.7490272058453741,0.7925177891866736,0.9020715630885122,0.7051384930407593,0.8247664181053634,0.9001883239171374,0.6918683341454172
0.6066129080203334,0.7723631844400669,0.8011880551630408,0.9096045197740112,0.7081338719942445,0.8494220232687798,0.9058380414312618,0.6973498998429971
0.5625069958912619,0.7895141953362138,0.8145484910476147,0.9058380414312618,0.7076012064528625,0.8309947717929507,0.9077212806026366,0.7037518271885659
0.5293751010536603,0.8027126572772675,0.8148261939019181,0.9077212806026366,0.7134812806109743,0.8453719329520518,0.9133709981167608,0.70711520762276
0.5014499371312865,0.8136812576555597,0.8108367250548251,0.9209039548022598,0.7106035031406513,0.8537254587589437,0.911487758945386,0.7041307996318553
0.47961773683965253,0.8223066281271123,0.8465319614975986,0.9171374764595104,0.7117241760978444,0.8647586137142987,0.9096045197740112,0.710092848248606
0.458988064921019,0.8303736808144109,0.8491000763793946,0.9246704331450094,0.7135919643598329,0.8695536421214182,0.9171374764595104,0.7107966542147149
0.441517573614511,0.8370453652378561,0.8464888696554407,0.9265536723163842,0.7215957829491685,0.8677875735633548,0.9227871939736346,0.7142615451247902
