losses trénovací sada,frame acc trénovací sada,losses validační sada,sample acc validační sada,frame acc validační sada,losses testovací sada,sample acc testovací sada,frame acc testovací sada
0.5720533014676158,0.7317356836626306,0.5491983176583893,0.8549905838041432,0.7478135394579069,0.5224284993626521,0.879472693032015,0.7571296026656011
0.42090370606852245,0.8082581123704196,0.515475835089704,0.8851224105461394,0.7750536876833342,0.48837638479255363,0.8813559322033898,0.7759838546922301
0.35600534021618524,0.8411211918452871,0.5067821993088046,0.9133709981167608,0.7829865933217264,0.48762971129641064,0.9209039548022598,0.7905850642358407
0.31395847675039706,0.8620309531805586,0.526598423870294,0.9171374764595104,0.7907365882408731,0.5056570417003007,0.911487758945386,0.7930976100339295
0.2837770382882124,0.8765701120901301,0.5331266678452132,0.9171374764595104,0.7921321292840061,0.5158519598528121,0.9190207156308852,0.793192423082914
0.26344815390073684,0.8866348948359238,0.5323367272646893,0.9077212806026366,0.792843448747739,0.4979432470182303,0.9209039548022598,0.8010551337879844
0.24184469176928375,0.8967475318722393,0.5774807901582961,0.9209039548022598,0.7952958072798466,0.5552226694883018,0.9265536723163842,0.802551825489811
0.22497383375129132,0.9050246150506871,0.5664899627974954,0.9227871939736346,0.7978091360517028,0.554825571919169,0.9227871939736346,0.8001544098226319
0.21213197955100332,0.9111132189786698,0.6021732268626963,0.928436911487759,0.7956074329496724,0.5788743073559157,0.9322033898305084,0.801095767951835
0.19918070122301368,0.9170488600851635,0.6187448422385163,0.9209039548022598,0.797619450861374,0.5786801264142569,0.9246704331450094,0.8020032642778293
