losses trénovací sada,frame acc trénovací sada,losses validační sada,sample acc validační sada,frame acc validační sada,losses testovací sada,sample acc testovací sada,frame acc testovací sada
0.6308715716696637,0.7021865138063901,0.5653346036756829,0.8305084745762712,0.7371708453862464,0.5672592575660885,0.8192090395480226,0.7323156732742332
0.49949527992431436,0.7678101278478644,0.538647718538609,0.8549905838041432,0.75391056343276,0.526003751434035,0.864406779661017,0.7569061147644235
0.45364462263923655,0.7909835680329921,0.5196085929884031,0.8700564971751412,0.7601430768292765,0.5060781682544172,0.8775894538606404,0.7651548500260736
0.42320701535407607,0.8068660652407798,0.5094131118481862,0.8757062146892656,0.7714361201249212,0.50270164151335,0.879472693032015,0.7749950900385347
0.40117810319310626,0.8175606446314749,0.5197890559467453,0.8813559322033898,0.7694308766843029,0.5031218893174935,0.8926553672316384,0.7760177164954388
0.38298131678693426,0.8269520491463563,0.5209974974195274,0.8945386064030132,0.7744643086990983,0.50502061626033,0.8888888888888888,0.777575359443041
0.3674515594216571,0.8347702438603373,0.5248500641397803,0.8888888888888888,0.7758801731554809,0.5107204618608518,0.8926553672316384,0.777900432753845
0.35467656282488513,0.8411878460356566,0.5295909644837875,0.8907721280602636,0.7774721738600259,0.5220885865220063,0.8851224105461394,0.7803452549455163
0.3436973055112124,0.8462629644536621,0.5444674076768597,0.9001883239171374,0.772858759052387,0.5291910229031427,0.8945386064030132,0.7818690360899099
0.33405792226946074,0.8517405716365911,0.554500804929796,0.8907721280602636,0.7777296037611864,0.5339184528948274,0.8983050847457628,0.7871040708659818
