losses train: anglický,frame acc train: anglický,losses val: anglický,sample acc val: anglický,frame acc val: anglický,losses test: italský,sample acc test: italský,frame acc test: italský
1.0901037474074289,0.5813871122315049,1.1668707033813164,0.8326271186440678,0.5761442990882201,2.831727323415643,0.20408163265306123,0.18883093949315302
0.8720117660808013,0.6719245887067091,1.1210717532576664,0.8707627118644068,0.602628609764279,2.95060390549974,0.1870748299319728,0.18924773640885584
0.7820029364048318,0.7097014173906401,1.1679287436239068,0.8622881355932204,0.6078736315677126,3.0724430711372883,0.20918367346938777,0.1912713951179919
0.7254929366774506,0.7339640756404647,1.1816395041113736,0.8771186440677966,0.6211081633275394,3.4154104983596163,0.23129251700680273,0.18986196344252315
0.6805328282218271,0.7527353000409731,1.2569227228357465,0.8707627118644068,0.6157259171164577,3.593603087759767,0.23639455782312926,0.18503040972233648
0.652709656496709,0.765481225303305,1.2103639584942982,0.885593220338983,0.6116244320434239,3.592728794633417,0.20918367346938777,0.17856457335899925
0.6291152131134056,0.7754579956526872,1.3054508491764092,0.875,0.609093404080139,3.77899782867828,0.20918367346938777,0.17677124978748843
0.6139964012731733,0.7844946422494913,1.3652493177785985,0.8834745762711864,0.6250038117891014,4.076720819694343,0.21258503401360543,0.17584990923698743
0.5876582341363384,0.7935026424161614,1.3322498867848047,0.8834745762711864,0.6170524197237215,3.7919253915038227,0.20748299319727892,0.17811487142363566
0.5754812169112431,0.8004932394424884,1.319570773807076,0.8877118644067796,0.6109688043179947,3.445043527551843,0.19727891156462585,0.16849563734280998
