losses trénovací sada,frame acc trénovací sada,losses validační sada,sample acc validační sada,frame acc validační sada,losses testovací sada,sample acc testovací sada,frame acc testovací sada
0.6080747960455278,0.7148354282403551,0.5688471712988485,0.8192090395480226,0.7350368869950479,0.5579301259580283,0.8305084745762712,0.7438490034471316
0.477820345505414,0.7800787715803623,0.5236695587548811,0.8757062146892656,0.7591946508776327,0.5139387840855083,0.8813559322033898,0.7620666535734361
0.4328623563588457,0.8026497604294581,0.530677836102904,0.8681732580037664,0.7646819724550006,0.5139019837782881,0.8681732580037664,0.7640441828808268
0.4039048579029679,0.8172470281203774,0.5304086679285567,0.8813559322033898,0.7659284751343038,0.5237149656954798,0.8813559322033898,0.7643218496671385
0.3826773974356098,0.8276835361586165,0.5291831818994917,0.8870056497175142,0.7691734467831424,0.5057027680127968,0.8907721280602636,0.7739386017784219
0.3658669694071708,0.8365946886864767,0.5319085545860132,0.896421845574388,0.7748030322532569,0.511096643171085,0.9001883239171374,0.7740198701061229
0.35221755076339795,0.8435489425483607,0.5451409125650488,0.8851224105461394,0.771266758347842,0.5237447125797984,0.879472693032015,0.7745142524329706
0.3409617623379367,0.8488983685959637,0.6176898205294388,0.8775894538606404,0.7743084958641854,0.5575140796842926,0.8757062146892656,0.7708436329651427
0.33070423776140784,0.8542888126068711,0.563767328818602,0.8870056497175142,0.7735497551028704,0.5568388855147863,0.896421845574388,0.7754894723653823
0.32212819001134907,0.8583248092878342,0.5707559139309848,0.8945386064030132,0.7759546923373958,0.5637006809291794,0.8888888888888888,0.775123764890728
